UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
239390,"R",157,"R",527,"R",30,"R",174,"Z",0,"R",174,"R",117,"R",67,"R",2,"Z",0,"R",2,"R",1,"R",50,"R",13
239442,"R",229,"R",395,"R",58,"R",180,"R",0,"R",180,"R",85,"R",47,"R",103,"R",0,"R",103,"R",82,"R",80,"R",11
239460,"R",573,"R",1639,"R",35,"R",397,"Z",0,"R",397,"R",267,"R",67,"R",347,"Z",0,"R",347,"R",245,"R",71,"R",20
239488,"R",1069,"R",3474,"R",31,"R",764,"R",0,"R",764,"R",522,"R",68,"R",547,"R",0,"R",547,"R",332,"R",61,"R",18
239503,"R",95,"R",163,"R",58,"R",98,"R",0,"R",98,"R",76,"R",78,"R",0,"R",0,"R",0,"R",0,"A",,"R",17
239512,"R",135,"R",182,"R",74,"R",133,"R",0,"R",133,"R",91,"R",68,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"R",12
239628,"R",249,"R",286,"R",87,"R",283,"R",0,"R",283,"R",236,"R",83,"R",0,"R",0,"R",0,"Z",0,"A",,"R",15
239716,"R",543,"R",630,"R",86,"R",532,"R",0,"R",532,"R",427,"R",80,"R",1,"R",0,"R",1,"R",1,"R",100,"R",14
239743,"R",30,"R",148,"R",20,"R",33,"R",0,"R",33,"R",20,"R",61,"R",0,"R",0,"R",0,"R",0,"A",,"R",6
239877,"A",,"A",,"A",,"R",43,"Z",0,"R",43,"R",37,"R",86,"R",5,"Z",0,"R",5,"R",5,"R",100,"R",11
239910,"R",336,"R",549,"R",61,"R",322,"R",0,"R",322,"R",227,"R",70,"R",141,"R",0,"R",141,"R",123,"R",87,"R",17
